id,session_id,test_type,spelling_total,spelling_per_question_json,unknown_tokens_by_question_json
11,a473a384-0d30-4dc5-a132-aa3088f542b3,free,6,"{""fieldOfStudy"":0,""dailyComputerUsage"":0,""email"":2,""dailySchedule"":0,""exerciseRoutine"":2,""favoriteMemory"":0,""typicalEvening"":0,""goalSetting"":0,""difficultDecision"":0,""stressManagement"":0,""workLifeBalance"":2,""transcription"":0}","{""fieldOfStudy"":[],""dailyComputerUsage"":[],""email"":[""ntu"",""edu""],""dailySchedule"":[],""exerciseRoutine"":[""exercsie"",""ntu""],""favoriteMemory"":[],""typicalEvening"":[],""goalSetting"":[],""difficultDecision"":[],""stressManagement"":[],""workLifeBalance"":[""versa"",""doesn""],""transcription"":[]}"
12,a473a384-0d30-4dc5-a132-aa3088f542b3,multitasking,0,"{""location"":0,""nativeLanguage"":0,""occupation"":0,""dailyTransport"":0,""favoriteRestaurant"":0,""musicPreference"":0,""morningRoutine"":0,""workLifeBalance"":0,""stressfulSituation"":0,""handlingPressure"":0,""recentLearning"":0,""transcription"":0}","{""location"":[],""nativeLanguage"":[],""occupation"":[],""dailyTransport"":[],""favoriteRestaurant"":[],""musicPreference"":[],""morningRoutine"":[],""workLifeBalance"":[],""stressfulSituation"":[],""handlingPressure"":[],""recentLearning"":[],""transcription"":[]}"
13,a473a384-0d30-4dc5-a132-aa3088f542b3,timed,0,"{""education"":0,""location"":0,""occupation"":0,""favoriteMovie"":0,""recentBook"":0,""hobbies"":0,""lastVacation"":0,""timeManagement"":0,""calmExperience"":0,""stressfulSituation"":0,""problemSolving"":0,""transcription"":0}","{""education"":[],""location"":[],""occupation"":[],""favoriteMovie"":[],""recentBook"":[],""hobbies"":[],""lastVacation"":[],""timeManagement"":[],""calmExperience"":[],""stressfulSituation"":[],""problemSolving"":[],""transcription"":[]}"
14,a8f3bf9a-006c-4403-8bcd-863093a19fdc,free,5,"{""location"":0,""dailyComputerUsage"":0,""dominantHand"":0,""favoriteRestaurant"":2,""lastVacation"":0,""recentMeal"":1,""morningRoutine"":0,""stressManagement"":0,""fiveYearsFromNow"":1,""adaptingToChange"":0,""timeManagement"":1,""transcription"":0}","{""location"":[],""dailyComputerUsage"":[],""dominantHand"":[],""favoriteRestaurant"":[""ntu"",""koufu""],""lastVacation"":[],""recentMeal"":[""yong""],""morningRoutine"":[],""stressManagement"":[],""fiveYearsFromNow"":[""bto""],""adaptingToChange"":[],""timeManagement"":[""prioritize""],""transcription"":[]}"
15,a8f3bf9a-006c-4403-8bcd-863093a19fdc,multitasking,0,"{""fieldOfStudy"":0,""education"":0,""gender"":0,""morningRoutine"":0,""weekendActivity"":0,""favoriteMemory"":0,""dailySchedule"":0,""motivation"":0,""explainingTasks"":0,""recentLearning"":0,""learningMistake"":0,""transcription"":0}","{""fieldOfStudy"":[],""education"":[],""gender"":[],""morningRoutine"":[],""weekendActivity"":[],""favoriteMemory"":[],""dailySchedule"":[],""motivation"":[],""explainingTasks"":[],""recentLearning"":[],""learningMistake"":[],""transcription"":[]}"
16,a8f3bf9a-006c-4403-8bcd-863093a19fdc,timed,0,"{""gender"":0,""nativeLanguage"":0,""email"":0,""dailyTransport"":0,""favoriteMemory"":0,""favoriteMovie"":0,""recentMeal"":0,""idealHoliday"":0,""handlingPressure"":0,""conflictResolution"":0,""fiveYearsFromNow"":0,""transcription"":0}","{""gender"":[],""nativeLanguage"":[],""email"":[],""dailyTransport"":[],""favoriteMemory"":[],""favoriteMovie"":[],""recentMeal"":[],""idealHoliday"":[],""handlingPressure"":[],""conflictResolution"":[],""fiveYearsFromNow"":[],""transcription"":[]}"
17,d1937fcc-420b-407d-829a-306c614e1431,free,3,"{""location"":0,""dailyComputerUsage"":0,""dominantHand"":0,""hobbies"":0,""favoritePlace"":1,""typicalEvening"":1,""lastVacation"":0,""idealHoliday"":0,""workLifeBalance"":0,""prioritisation"":0,""stressfulSituation"":1,""transcription"":0}","{""location"":[],""dailyComputerUsage"":[],""dominantHand"":[],""hobbies"":[],""favoritePlace"":[""favourite""],""typicalEvening"":[""online""],""lastVacation"":[],""idealHoliday"":[],""workLifeBalance"":[],""prioritisation"":[],""stressfulSituation"":[""rcp""],""transcription"":[]}"
18,d1937fcc-420b-407d-829a-306c614e1431,multitasking,0,"{""email"":0,""age"":0,""education"":0,""recentMeal"":0,""favoriteMovie"":0,""dailyTransport"":0,""recentBook"":0,""unexpectedProblem"":0,""learningStrategy"":0,""handlingPressure"":0,""calmExperience"":0,""transcription"":0}","{""email"":[],""age"":[],""education"":[],""recentMeal"":[],""favoriteMovie"":[],""dailyTransport"":[],""recentBook"":[],""unexpectedProblem"":[],""learningStrategy"":[],""handlingPressure"":[],""calmExperience"":[],""transcription"":[]}"
19,d1937fcc-420b-407d-829a-306c614e1431,timed,0,"{""age"":0,""nativeLanguage"":0,""gender"":0,""favoritePlace"":0,""favoriteMemory"":0,""musicPreference"":0,""favoriteMovie"":0,""fiveYearsFromNow"":0,""idealHoliday"":0,""motivation"":0,""conflictResolution"":0,""transcription"":0}","{""age"":[],""nativeLanguage"":[],""gender"":[],""favoritePlace"":[],""favoriteMemory"":[],""musicPreference"":[],""favoriteMovie"":[],""fiveYearsFromNow"":[],""idealHoliday"":[],""motivation"":[],""conflictResolution"":[],""transcription"":[]}"
20,eb627c7f-fcec-4478-8963-870130a908e8,free,5,"{""dailyComputerUsage"":0,""email"":4,""gender"":0,""musicPreference"":0,""exerciseRoutine"":0,""favoritePlace"":0,""dailyTransport"":1,""motivation"":0,""stressManagement"":0,""problemBreakdown"":0,""taskTracking"":0,""transcription"":0}","{""dailyComputerUsage"":[],""email"":[""snehal"",""bhadani"",""gmail"",""com""],""gender"":[],""musicPreference"":[],""exerciseRoutine"":[],""favoritePlace"":[],""dailyTransport"":[""mrt""],""motivation"":[],""stressManagement"":[],""problemBreakdown"":[],""taskTracking"":[],""transcription"":[]}"
21,eb627c7f-fcec-4478-8963-870130a908e8,multitasking,0,"{""nativeLanguage"":0,""gender"":0,""location"":0,""weekendActivity"":0,""favoriteMovie"":0,""favoriteMemory"":0,""typicalEvening"":0,""handlingPressure"":0,""idealHoliday"":0,""stressfulSituation"":0,""stressManagement"":0,""transcription"":0}","{""nativeLanguage"":[],""gender"":[],""location"":[],""weekendActivity"":[],""favoriteMovie"":[],""favoriteMemory"":[],""typicalEvening"":[],""handlingPressure"":[],""idealHoliday"":[],""stressfulSituation"":[],""stressManagement"":[],""transcription"":[]}"
22,eb627c7f-fcec-4478-8963-870130a908e8,timed,0,"{""email"":0,""nativeLanguage"":0,""age"":0,""recentBook"":0,""dailyTransport"":0,""favoriteMovie"":0,""dailySchedule"":0,""idealHoliday"":0,""fiveYearsFromNow"":0,""stressfulSituation"":0,""problemBreakdown"":0,""transcription"":0}","{""email"":[],""nativeLanguage"":[],""age"":[],""recentBook"":[],""dailyTransport"":[],""favoriteMovie"":[],""dailySchedule"":[],""idealHoliday"":[],""fiveYearsFromNow"":[],""stressfulSituation"":[],""problemBreakdown"":[],""transcription"":[]}"
64,e74b1380-c868-41ad-8bd3-bd7f27147f28,free,6,"{""dominantHand"":0,""dailyComputerUsage"":0,""nativeLanguage"":0,""dailySchedule"":0,""morningRoutine"":0,""exerciseRoutine"":0,""weekendActivity"":0,""learningStrategy"":1,""calmExperience"":1,""adaptingToChange"":0,""teamworkExperience"":0,""transcription"":4}","{""dominantHand"":[],""dailyComputerUsage"":[],""nativeLanguage"":[],""dailySchedule"":[],""morningRoutine"":[],""exerciseRoutine"":[],""weekendActivity"":[],""learningStrategy"":[""online""],""calmExperience"":[""effecrt""],""adaptingToChange"":[],""teamworkExperience"":[],""transcription"":[""whethjer"",""devceloping"",""expertise"",""abiltiies""]}"
65,e74b1380-c868-41ad-8bd3-bd7f27147f28,multitasking,0,"{""occupation"":0,""age"":0,""email"":0,""exerciseRoutine"":0,""favoriteMovie"":0,""morningRoutine"":0,""dailyTransport"":0,""learningStrategy"":0,""recentLearning"":0,""fiveYearsFromNow"":0,""motivation"":0,""transcription"":0}","{""occupation"":[],""age"":[],""email"":[],""exerciseRoutine"":[],""favoriteMovie"":[],""morningRoutine"":[],""dailyTransport"":[],""learningStrategy"":[],""recentLearning"":[],""fiveYearsFromNow"":[],""motivation"":[],""transcription"":[]}"
66,e74b1380-c868-41ad-8bd3-bd7f27147f28,timed,0,"{""gender"":0,""dominantHand"":0,""age"":0,""favoriteSeason"":0,""lastVacation"":0,""musicPreference"":0,""favoriteRestaurant"":0,""timeManagement"":0,""decisionMaking"":0,""calmExperience"":0,""stressManagement"":0,""transcription"":0}","{""gender"":[],""dominantHand"":[],""age"":[],""favoriteSeason"":[],""lastVacation"":[],""musicPreference"":[],""favoriteRestaurant"":[],""timeManagement"":[],""decisionMaking"":[],""calmExperience"":[],""stressManagement"":[],""transcription"":[]}"
